0,1
,SAFFRON DESIGN
"BILLTO
SHIPTO","INVOICE#
P.O."
"Kavindra Mannan
Kavindra Mannan","2430/2019
IN-001"
"27,DIf City,Gupta
264,Abdul Rehman
Delhi,Delhi 40003
Mumbai,Bihar 40009","DUE DATE
INVOICEDATE"
"QTY
DESCRIPTION","AMOUNT
UNITPRICE"
"1
Frontend design restructure","9,999.00
9,999.00"
"2
Custom icon package","975.00
1,950.00"
"3
Gandhi mouse pad","297.00
99.00"
,"SUBTOTAL
12,246.00"
,"GST 12.0%
1,469.52"
,"TOTAL
13,715.52"
TERMS&CONDITIONS,
Payment is due within 15 days,
State Bank of India,
